id,incidence,cover,immigration,risk
Afghanistan,93.4450964,81,800,74756.07712
Albania,2.84629981,98,100,284.629981
Algeria,0.467751156,95,20,9.355023128
Andorra,0,98,0,0
Angola,214.1107536,97,160,34257.72057
Antigua and Barbuda,0,98,20,0
Argentina,0.048677197,94,3120,151.8728552
Armenia,0,97,60,0
Australia,8.63340564,94,989880,8546035.575
Austria,4.253308129,NA,2540,10803.40265
Azerbaijan,0,97,160,0
Bahamas,0,91,20,0
Bahrain,0,99,300,0
Bangladesh,12.81290323,89,900,11531.6129
Barbados,0,90,100,0
Belarus,1.063264221,98,20,21.26528442
Belgium,9.855334539,96,1060,10446.65461
Belize,0,96,80,0
Benin,28.65386529,72,0,0
Bhutan,1.347708895,95,100,134.7708895
Bolivia,0,84,200,0
Bosnia and Herzegovina,5.738132499,94,40,229.5252999
Botswana,3.493013972,99,220,768.4630739
Brazil,0.010050251,99,3100,31.15577889
Brunei Darussalam,2.427184466,99,580,1407.76699
Bulgaria,0.137400385,94,300,41.22011542
Burkina Faso,447.2660996,87,40,17890.64399
Burundi,4.974619289,93,20,99.49238579
Cabo Verde,0,91,NA,NA
Cambodia,1.009081736,93,4020,4056.508577
Cameroon,28.06451613,82,20,561.2903226
Canada,0.287042884,98,20400,5855.674838
Central African Republic,31.16022099,65,0,0
Chad,9.640102828,69,20,192.8020566
Chile,0,90,2520,0
China,4.448201439,99,66040,293759.223
Colombia,0.020962603,94,440,9.223545195
Comoros,1.39275766,85,0,0
Congo,59.94927369,80,20,1198.985474
Cook Islands,0,97,71960,0
Costa Rica,0,90,260,0
Cote d'Ivoire,6.905241935,94,60,414.3145161
Croatia,0.464360344,NA,2240,1040.16717
Cuba,0,99,300,0
Cyprus,0.885739593,86,300,265.7218778
Czech Republic,2.063789869,NA,1080,2228.893058
"Korea, Democratic People's Republic of",0,99,20,0
Democratic Republic of the Congo,1096.248383,84,40,43849.93532
Denmark,0.357270454,90,1180,421.5791354
Djibouti,824.4186047,83,0,0
Dominica,0,99,0,0
Dominican Republic,0,88,40,0
Ecuador,4.647560031,99,420,1951.975213
Egypt,3.035108149,93,1120,3399.321127
El Salvador,0,93,40,0
Equatorial Guinea,1616.847826,34,0,0
Eritrea,31.64247268,77,0,0
Estonia,3.098373354,94,100,309.8373354
Ethiopia,47.38959326,80,320,15164.66984
Fiji,0,90,104720,0
Finland,NA,97,640,NA
France,NA,89,14500,NA
Gabon,1.224739743,71,40,48.98958971
Gambia,0,93,20,0
Georgia,7.11335475,93,120,853.60257
Germany,2.004830918,97,12700,25461.35266
Ghana,63.58905622,89,240,15261.37349
Greece,0.269662921,99,2160,582.4719101
Grenada,0,94,20,0
Guatemala,0,93,140,0
Guinea,0.523971706,99,20,10.47943411
Guinea-Bissau,0,90,0,0
Guyana,0,99,20,0
Haiti,0,69,40,0
Honduras,0,93,20,0
Hungary,0.200481155,99,680,136.3271852
Iceland,0,90,260,0
India,15.05483871,85,38580,580815.6774
Indonesia,62.70850202,84,19660,1232849.15
Iran (Islamic Republic of),4.344185073,98,740,3214.696954
Iraq,0.457624016,83,700,320.3368113
Ireland,23.38286713,92,6360,148715.035
Israel,27.60334903,96,1460,40300.88959
Italy,6.175576907,90,11820,72995.31904
Jamaica,0,93,140,0
Japan,1.795275591,96,20040,35977.32283
Jordan,0.428021116,98,500,214.0105579
Kazakhstan,3.380247065,96,240,811.2592957
Kenya,NA,93,900,NA
Kiribati,0,91,540,0
Kuwait,8.307692308,99,300,2492.307692
Kyrgyzstan,0,98,40,0
Lao People's Democratic Republic,4.814926271,72,800,3851.941017
Latvia,1.45631068,90,40,58.25242718
Lebanon,1.936733376,98,140,271.1426727
Lesotho,87.23196881,60,0,0
Liberia,10.26252983,80,0,0
Libyan Arab Jamahiriya,51.99025183,98,20,1039.805037
Lithuania,0,93,60,0
Luxembourg,3.816793893,NA,0,0
Madagascar,0.089710236,85,20,1.794204719
Malawi,0.691562932,90,120,82.98755187
Malaysia,63.88508892,95,19860,1268757.866
Maldives,0,98,320,0
Mali,22.95677932,85,60,1377.406759
Malta,NA,93,340,NA
Marshall Islands,0,78,80,0
Mauritania,9.220231823,75,0,0
Mauritius,0,99,340,0
Mexico,0,99,2120,0
"Micronesia, Federated States of",0,91,0,0
Monaco,131.5789474,NA,20,2631.578947
Mongolia,0,99,280,0
Montenegro,0,90,40,0
Morocco,20.54057378,99,300,6162.172135
Mozambique,5.753283339,82,100,575.3283339
Myanmar,41.19552247,84,NA,NA
Namibia,38.06994245,76,240,9136.786189
Nauru,1100,96,40,44000
Nepal,122.370241,86,1540,188450.1711
Netherlands,0.598300826,96,5720,3422.280723
New Zealand,15.24663677,92,0,0
Nicaragua,0,99,40,0
Niger,15.85358746,91,0,0
Nigeria,38.14792899,78,400,15259.1716
Niue,0,99,3240,0
Norway,0.800961153,94,1080,865.0380457
Oman,3.922751961,99,540,2118.286059
Pakistan,44.94972067,88,1300,58434.63687
Palau,0,91,40,0
Panama,0,98,240,0
Papua New Guinea,0,67,6140,0
Paraguay,0,74,40,0
Peru,0,94,1500,0
Philippines,15.88302812,85,15220,241739.6879
Poland,1.858103687,98,820,1523.645024
Portugal,2.168992833,97,540,1171.25613
Qatar,78.01072647,97,560,43686.00683
"Korea, Republic of Korea",0.040813828,99,NA,NA
Republic of Moldova,3.1303358,91,40,125.213432
Romania,342.4500115,94,480,164376.0055
Russia,14.84615385,98,2380,35333.84615
Rwanda,6.545644964,99,40,261.8257986
Saint Kitts and Nevis,0,95,0,0
Saint Lucia,0,99,0,0
Saint Vincent and the Grenadines,0,94,0,0
Samoa,5.291005291,85,46020,243492.0635
San Marino,32.25806452,87,0,0
Sao Tome and Principe,0,92,0,0
Saudi Arabia,10.39309955,98,2480,25774.88688
Senegal,3.351304094,82,0,0
Serbia,0,87,620,0
Seychelles,0,98,80,0
Sierra Leone,113.3968891,88,0,0
Singapore,7.920045257,95,17120,135591.1748
Slovakia,0,99,140,0
Slovenia,0.967117988,95,80,77.36943907
Solomon Islands,0,85,1380,0
Somalia,979.2054929,49,20,19584.10986
South Africa,0.610850227,99,15380,9394.876494
South Sudan,786.3997047,70,0,NA
Spain,25.75125655,97,5500,141631.911
Sri Lanka,2.417290738,99,4060,9814.200398
Sudan,229.1437021,85,100,22914.37021
Suriname,0,73,20,0
Swaziland,0,88,60,0
Sweden,3.154242456,97,1760,5551.466723
Switzerland,7.627860448,92,3580,27307.7404
Syrian Arab Republic,0.593878483,78,20,11.87756967
Tajikistan,1.997752528,95,0,0
Thailand,77.81687505,98,41100,3198273.564
The former Yugoslav Republic of Macedonia,3.323836657,96,200,664.7673314
Timor-Leste,14.36265709,73,400,5745.062837
Togo,35.82718651,72,0,0
Tonga,0,95,17760,0
Trinidad and Tobago,0,85,100,0
Tunisia,4.413793103,96,60,264.8275862
Turkey,4.716407422,96,3060,14432.20671
Turkmenistan,0,99,0,0
Tuvalu,0,98,220,0
Uganda,55.76954823,82,240,13384.69158
Ukraine,279.9472875,79,360,100781.0235
United Arab Emirates,14.33847491,99,4220,60508.36411
United Kingdom,33.32112196,93,95560,3184166.414
United Republic of Tanzania,34.9078124,97,640,22340.99994
United States,0.172955975,92,121620,21034.90566
Uruguay,0,96,300,0
Uzbekistan,NA,99,60,NA
Vanuatu,0,94,12520,0
Venezuela,0.033383408,87,100,3.338340845
Viet Nam,6.365919203,96,12920,82247.67611
Yemen,91.27117223,71,20,1825.423445
Zambia,63.6589698,95,340,21644.04973
Zimbabwe,0,97,860,0
American Samoa,NA,NA,540,NA
Anguilla,NA,NA,20,NA
Bermuda,NA,NA,80,NA
British Indian Ocean Territory,NA,NA,0,NA
Cape Verde,NA,NA,20,NA
Cayman Islands,NA,NA,80,NA
Democratic Republic of Congo,NA,NA,NA,NA
Gibraltar,NA,NA,0,NA
Guam,NA,NA,140,NA
Hong Kong,NA,NA,18220,NA
Kosovo - Republic of,NA,NA,NA,NA
Liechtenstein,NA,NA,20,NA
Macau,NA,NA,380,NA
Macedonia,NA,NA,NA,NA
Martinique,NA,NA,0,NA
Burma,NA,NA,760,NA
Netherlands Antilles,NA,NA,0,NA
Palestine,NA,NA,40,NA
Puerto Rico,NA,NA,60,NA
Reunion,NA,NA,20,NA
"Korea, Republic of",NA,NA,13960,NA
Taiwan,NA,NA,10460,NA
Tanzania,NA,NA,NA,NA
Tokelau,NA,NA,280,NA
United Nations,NA,NA,NA,NA
Holy See (Vatican City),NA,NA,0,NA
United States Virgin Islands,NA,NA,0,NA
Yugoslavia,NA,NA,NA,NA
Antarctica,NA,NA,80,NA
Aruba,NA,NA,0,NA
Christmas Island,NA,NA,20,NA
Cocos (Keeling) Islands,NA,NA,0,NA
Curacao,NA,NA,0,NA
Czechoslovakia,NA,NA,0,NA
Faroe Islands,NA,NA,0,NA
Falkland Islands (Malvinas),NA,NA,0,NA
French Guiana,NA,NA,0,NA
French Polynesia,NA,NA,6360,NA
French Southern and Antarctic Lands,NA,NA,0,NA
"Germany, Democratic Republic of",NA,NA,0,NA
Greenland,NA,NA,20,NA
Guadeloupe,NA,NA,40,NA
Kosovo,NA,NA,60,NA
Mayotte,NA,NA,0,NA
Montserrat,NA,NA,0,NA
New Caledonia,NA,NA,7340,NA
Norfolk Island,NA,NA,3640,NA
Northern Mariana Islands,NA,NA,0,NA
Pitcairn,NA,NA,0,NA
South Georgia South Sandwich Islands,NA,NA,20,NA
Saint Helena,NA,NA,0,NA
Saint Martin,NA,NA,0,NA
Saint Pierre and Miquelon,NA,NA,0,NA
Turks and Caicos Islands,NA,NA,0,NA
Union of Soviet Socialist Republics,NA,NA,0,NA
United States Minor Outlying Islands,NA,NA,0,NA
British Virgin Islands,NA,NA,20,NA
Wallis and Futuna Islands,NA,NA,20,NA
Western Sahara,NA,NA,0,NA
"Yemen, Democratic",NA,NA,0,NA
Yugoslavia/Serbia and Montenegro,NA,NA,0,NA
